time;0;1;2;3
104;0;46;2;2
105;0;46;2;2
106;0;46;2;2
107;0;46;2;2
108;0;46;2;2
109;0;46;2;2
110;0;46;2;2
111;0;46;2;2
112;0;46;2;2
113;0;46;2;2
114;0;46;2;2
115;0;46;2;2
116;0;46;2;2
117;0;46;2;2
118;0;46;2;2
119;0;46;2;2
120;0;46;2;2
121;0;46;2;2
122;0;46;2;2
123;0;46;2;2
124;0;46;2;2
125;0;46;2;2
126;0;45;3;2
127;0;45;3;2
128;0;45;3;2
129;0;45;3;2
130;0;45;3;2
131;0;45;3;2
132;0;45;3;2
133;0;45;3;2
134;0;45;3;2
135;0;45;3;2
136;0;45;3;2
137;0;44;3;3
138;0;44;3;3
139;0;44;3;3
140;0;44;3;3
141;0;44;3;3
142;0;43;4;3
143;0;43;4;3
144;0;43;4;3
145;0;43;4;3
146;0;43;4;3
147;0;43;4;3
148;0;43;4;3
149;0;43;4;3
150;0;43;4;3
151;0;43;4;3
152;0;43;4;3
153;0;43;4;3
154;0;43;4;3
155;0;43;4;3
156;0;43;4;3
157;0;43;4;3
158;0;43;4;3
159;0;43;4;3
160;0;43;4;3
161;0;43;4;3
162;0;43;4;3
163;0;42;5;3
164;0;42;5;3
165;0;42;5;3
166;0;42;5;3
167;0;42;5;3
168;0;42;5;3
169;0;40;5;5
170;0;39;5;6
171;0;39;5;6
172;0;39;5;6
173;0;39;5;6
174;0;39;5;6
175;0;39;5;6
176;0;39;5;6
177;0;39;5;6
178;0;39;5;6
179;0;39;5;6
180;0;39;5;6
181;0;39;5;6
182;0;39;5;6
183;0;38;5;7
184;0;38;5;7
185;0;38;5;7
186;0;38;5;7
187;0;38;5;7
188;0;38;5;7
189;0;38;5;7
190;0;38;5;7
191;0;38;5;7
192;0;38;5;7
193;0;38;5;7
194;0;38;5;7
195;0;38;5;7
196;0;38;5;7
197;0;38;5;7
198;0;38;5;7
199;0;38;5;7
200;0;38;5;7
201;0;38;5;7
202;0;38;5;7
203;0;38;5;7
204;0;38;5;7
205;0;38;5;7
206;0;38;5;7
207;0;38;5;7
208;0;38;5;7
209;0;38;5;7
210;0;36;5;9
211;0;36;5;9
212;0;36;5;9
213;0;36;5;9
214;0;36;5;9
215;0;36;5;9
216;0;36;5;9
217;0;36;5;9
218;0;36;5;9
219;0;36;5;9
220;0;36;5;9
221;0;36;5;9
222;0;35;6;9
223;0;35;6;9
224;0;35;6;9
225;0;35;6;9
226;0;35;6;9
227;0;35;6;9
228;0;35;6;9
229;0;35;6;9
230;0;35;6;9
231;0;35;6;9
232;0;35;6;9
233;0;35;6;9
234;0;35;6;9
235;0;35;6;9
236;0;35;6;9
237;0;35;6;9
238;0;35;6;9
239;0;35;6;9
240;0;35;6;9
241;0;35;6;9
242;0;35;6;9
243;0;35;6;9
244;0;35;6;9
245;0;35;6;9
246;0;35;6;9
247;0;35;6;9
248;0;35;6;9
249;0;35;6;9
250;0;35;6;9
251;0;35;6;9
252;0;35;6;9
253;0;35;6;9
254;0;35;6;9
255;0;35;6;9
256;0;35;6;9
257;0;35;6;9
258;0;35;6;9
259;0;33;6;11
260;0;33;6;11
261;0;33;6;11
262;0;33;6;11
263;0;33;6;11
264;0;33;6;11
265;0;33;6;11
266;0;33;6;11
267;0;33;6;11
268;0;33;6;11
269;0;32;6;12
270;0;32;6;12
271;0;32;6;12
272;0;32;6;12
273;0;32;6;12
274;0;32;6;12
275;0;32;6;12
276;0;32;6;12
277;0;32;6;12
278;0;32;6;12
279;0;32;6;12
280;0;32;6;12
281;0;32;6;12
282;0;32;6;12
283;0;32;6;12
284;0;33;6;11
285;0;33;6;11
286;0;33;6;11
287;0;33;6;11
288;0;33;6;11
289;0;33;6;11
290;0;33;6;11
291;0;33;6;11
292;0;33;6;11
293;0;33;6;11
294;0;33;6;11
295;0;33;6;11
296;0;33;6;11
297;0;33;6;11
298;0;33;6;11
299;0;33;6;11
300;0;33;6;11
301;0;33;6;11
302;0;33;6;11
303;0;33;6;11
304;0;33;6;11
305;0;33;6;11
306;0;32;6;12
307;0;32;6;12
308;0;32;6;12
309;0;32;6;12
310;0;32;6;12
311;0;32;6;12
312;0;32;6;12
313;0;32;6;12
314;0;33;7;10
315;0;33;7;10
316;0;33;7;10
317;0;33;7;10
318;0;33;7;10
319;0;33;7;10
